,Comment,Emotion,Comment_clean
3053,i am feeling vulnerable worrying that the publishing world doesn t like my stories and won t like this next one if i write it,fear,i am feeling vulnerable worrying that the publishing world does not like my stories and won t like this next one if i write it
3054,i feel that i was innocent i did not want to hurt anyone,joy,i feel that i was innocent i did not want to hurt anyone
3055,i feel better about myself almost tasting my success,joy,i feel better about myself almost tasting my success
3056,i don t like feeling vulnerable or exposing all my worries and concerns mostly because i have felt the need to hold it together to be the strong one,fear,i do not like feeling vulnerable or exposing all my worries and concerns mostly because i have felt the need to hold it together to be the strong one
3057,i always feel a little shy in those situations and then nervous that my shyness is making me seem aloof,fear,i always feel a little shy in those situations and then nervous that my shyness is making me seem aloof
3058,i feel that the classroom is extremely dangerous,anger,i feel that the classroom is extremely dangerous
3059,im feeling festive tonight,joy,i am feeling festive tonight
3060,i fully enjoy music when i feel afraid using headphones,fear,i fully enjoy music when i feel afraid using headphones
3061,i feel impatient to do a final post after four more weeks with tangible results so far its exciting to see how far the philips reaura can go in terms of firming and smoothing,anger,i feel impatient to do a final post after four more weeks with tangible results so far its exciting to see how far the philips reaura can go in terms of firming and smoothing
3062,i feel that being faithful isnt enough in your eyes,joy,i feel that being faithful is not enough in your eyes
